current_job_title,target_job_title,skills,education_level,years_of_experience,portfolio_strength,estimated_salary_usd,certifications,language_proficiency,remote_work_preference,projects_completed,communication_skills_rating
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,3,Medium,85000,Microsoft Azure,"English, Spanish",Onsite,10,5
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,2,High,78000,DataCamp Track,"English, German",Remote,10,4
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,4,Medium,62000,Microsoft Azure,"English, Spanish",Hybrid,2,5
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,5,High,75000,Certified UX Designer,"English, German",Hybrid,9,5
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,6,Medium,95000,Google Data Analytics,"English, German",Onsite,10,3
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,3,Medium,85000,Google Data Analytics,"English, French",Onsite,5,3
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,2,High,78000,AWS Certified,"English, German",Onsite,5,4
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,4,Medium,62000,Google Data Analytics,"English, German",Hybrid,2,3
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,5,High,75000,DataCamp Track,"English, Spanish",Remote,10,3
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,6,Medium,95000,Google Data Analytics,English,Remote,2,5
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,3,Medium,85000,AWS Certified,"English, Spanish",Hybrid,2,5
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,2,High,78000,Certified UX Designer,"English, Spanish",Hybrid,1,5
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,4,Medium,62000,Google Data Analytics,"English, French",Remote,5,5
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,5,High,75000,Scrum Master,"English, Hindi",Hybrid,5,4
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,6,Medium,95000,None,"English, German",Hybrid,8,3
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,3,Medium,85000,DataCamp Track,"English, French",Remote,6,5
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,2,High,78000,AWS Certified,"English, German",Onsite,9,3
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,4,Medium,62000,Google Data Analytics,"English, Spanish",Remote,1,3
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,5,High,75000,Certified UX Designer,"English, German",Remote,7,4
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,6,Medium,95000,None,English,Onsite,6,5
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,3,Medium,85000,Certified UX Designer,English,Hybrid,2,3
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,2,High,78000,AWS Certified,"English, French",Remote,3,5
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,4,Medium,62000,AWS Certified,"English, French",Hybrid,10,5
Graphic Designer,UI/UX Designer,"Adobe XD, Figma, Photoshop, Illustrator",Bachelor's in Design,5,High,75000,AWS Certified,"English, German",Remote,5,3
Business Analyst,Product Manager,"JIRA, Excel, SQL, Communication",MBA,6,Medium,95000,Certified UX Designer,"English, Hindi",Hybrid,4,5
Data Analyst,Data Scientist,"SQL, Python, Excel, Tableau",Bachelor's in Statistics,3,Medium,85000,Google Data Analytics,"English, Hindi",Hybrid,8,5
Web Developer,Frontend Engineer,"HTML, CSS, JavaScript, React",Bachelor's in Computer Science,2,High,78000,Scrum Master,"English, French",Remote,7,4
Technical Support Specialist,System Administrator,"Linux, Networking, Shell Scripting",Associate Degree in IT,4,Medium,62000,Microsoft Azure,"English, Spanish",Hybrid,1,5
